reliability,smoothed_reliability,latency,smoothed_latency,deriv,rolling_vol,mean_deriv,predicted_degradation_step,actual_degradation_step,lead_time,fast_J,robust_J
0.9997433423995972,0.9997433423995972,0.0015815000000001245,0.0015815000000001245,0.0,0.0,0.0,,,,0.0018381576004029565,0.00030446517962645636
0.9998694062232971,0.9997685551643372,2.5708000000124187e-05,0.0012703416000001246,2.5212764739990234e-05,1.2606382369995117e-05,0.0,,,,0.00015630177670300505,0.00019478514443971306
0.9998927116394043,0.9997933864593507,2.562500000014012e-05,0.0010213982800001279,2.4831295013516552e-05,2.0430599693419956e-05,0.0,,,,0.00013291336059584324,0.00016136524200449642
0.9998137950897217,0.9997974681854249,3.079200000000171e-05,0.0008232770240001028,4.081726074245395e-06,2.170672217616755e-05,0.0,,,,0.00021699691027832202,0.00018888235455327695
0.9996792674064636,0.9997738280296327,2.4875000000035286e-05,0.0006635966192000893,-2.364015579225942e-05,1.942933296655902e-05,0.0,,,,0.00034560759353641224,0.00021486032830808632
0.9994881749153137,0.9997166974067689,2.420899999999726e-05,0.0005357190953600709,-5.713062286372139e-05,2.8139382589338665e-05,-5.328998565645726e-06,,,,0.0005360340846862766,0.00015302714883413948
0.9996048808097839,0.999694334087372,2.5291000000038366e-05,0.0004336334762880644,-2.2363319396978554e-05,3.605089857346909e-05,-1.4844215393039483e-05,,,,0.0004204101902161028,0.00014075561523418934
0.9996170401573181,0.9996788753013612,2.633299999987848e-05,0.0003521733810304272,-1.54587860107247e-05,4.215758485123908e-05,-2.2902231597887734e-05,,,,0.00040929284268176325,0.00032713038616938306
0.9998224377632141,0.9997075877937319,2.379199999991144e-05,0.00028649710482432406,2.871249237068607e-05,4.152210407552336e-05,-1.79760783385996e-05,,,,0.0002013542367858001,0.000573473522369472
0.9995418190956116,0.9996744340541079,2.3957999999879576e-05,0.00023398928385943518,-3.315373962398116e-05,4.424086015520377e-05,-1.9878795104943946e-05,,,,0.0004821389043883073,0.00020567688732908707
0.9997502565383911,0.9996895985509646,2.345900000011447e-05,0.00019188322708757106,1.5164496856678866e-05,4.610787915552516e-05,-5.4197711608638954e-06,,,,0.0002732024616090012,0.00010906454885861727
0.9994183778762817,0.999635354416028,2.3874999999895508e-05,0.00015828158167003595,-5.424413493659852e-05,5.17850816669789e-05,-1.1795934268787889e-05,,,,0.0006054971237181572,0.00016374540347285915
0.999830424785614,0.9996743684899452,2.3917000000039934e-05,0.00013140866533603674,3.901407391715406e-05,4.602409506526069e-05,-9.013622832121371e-07,,,,0.00019349221438602626,0.00016428207778917958
